268	268	268	163	291	71	71	111	71	72	111	134	72	71	111	71	72	134	111	134	71	71	17	143
268	268	268	195	71	111	102	111	102	72	102	102	111	111	111	111	134	102	111	72	111	72	49	44
268	268	268	195	134	134	102	111	102	134	72	72	134	111	71	111	111	71	134	102	111	102	49	43
268	268	268	195	134	102	72	102	111	134	71	72	71	111	111	102	72	134	72	102	111	17	144	44
268	268	268	195	71	134	71	111	134	134	111	111	102	111	72	134	71	72	134	134	111	112	43	43
268	268	163	291	134	102	134	134	102	71	111	111	72	111	111	111	102	102	134	72	71	49	43	44
268	268	195	71	72	111	111	72	72	102	71	72	72	111	71	102	134	111	17	18	18	144	43	50
268	268	195	72	72	111	102	102	111	102	102	111	71	71	72	102	111	111	49	78	79	80	12	12
268	268	195	134	102	111	111	102	72	72	134	111	72	134	71	72	111	17	144	142	143	144	50	50
268	268	195	111	111	111	71	134	71	102	71	111	102	71	72	111	71	49	50	12	43	50	50	44
268	268	195	111	134	111	71	111	71	134	111	111	111	102	17	143	143	144	12	50	50	50	50	50
268	268	195	71	134	111	72	134	111	102	72	72	102	111	49	78	82	82	80	12	44	43	11	0
268	268	227	259	134	102	102	134	102	72	71	102	111	111	112	142	143	18	144	50	50	12	43	32
268	268	268	195	72	72	111	102	111	111	111	111	134	134	81	80	12	50	11	43	50	44	0	36
268	268	268	195	102	111	134	102	72	111	134	72	102	72	134	49	50	12	43	50	12	44	32	9

