50	9	11	11	50	50	50	147	24	148	44	11	12	43	50	288	162	268	268	268	268	268	268	268
43	43	50	43	50	256	257	44	11	44	44	44	44	44	50	50	288	161	161	161	162	268	268	268
50	50	12	11	12	288	289	50	44	50	50	11	43	43	50	12	12	43	11	12	288	162	268	268
43	43	11	50	50	50	11	256	257	50	50	11	50	43	43	43	50	50	50	50	43	194	268	268
50	43	44	43	43	11	50	288	289	11	12	11	11	12	50	50	44	11	43	50	43	194	268	268
11	12	44	50	12	44	44	44	44	256	225	257	50	12	11	11	44	44	43	43	44	194	268	268
50	12	44	11	50	50	50	11	11	288	162	224	225	257	44	50	11	50	256	225	225	226	268	268
12	12	12	44	44	12	50	44	11	43	288	162	268	224	225	225	225	225	226	268	268	268	160	161
12	43	44	44	50	50	43	43	44	11	12	288	162	268	268	268	268	268	268	268	268	160	289	12
82	80	50	43	43	44	44	12	50	11	12	43	288	162	268	268	268	268	268	160	161	289	50	50
111	49	12	43	50	12	50	11	12	50	43	11	50	288	161	161	161	161	161	289	44	11	11	12
111	81	80	11	43	43	50	43	11	43	11	12	12	43	44	12	12	44	50	12	43	50	12	50
111	111	81	82	80	11	43	11	11	44	50	11	50	43	50	11	50	43	44	11	12	44	50	50
85	114	111	111	81	80	43	43	11	12	50	11	50	12	50	50	50	12	43	43	50	12	50	12
117	84	114	111	111	81	82	80	50	44	50	11	50	50	43	11	50	11	44	12	44	50	50	43

