134	71	71	134	111	105	72	102	71	54	117	117	52	72	106	72	106	106	107	102	102	111	134	134
72	102	102	72	72	105	134	102	102	145	22	117	52	106	134	106	106	102	107	71	111	102	102	72
134	102	111	71	102	105	102	102	106	102	54	117	52	71	106	72	71	106	107	111	111	111	72	111
102	134	72	111	71	105	134	106	102	106	54	117	52	106	134	102	71	134	107	72	111	72	111	134
72	111	72	102	73	133	71	134	72	113	86	117	52	72	72	72	71	106	107	111	102	102	71	71
102	134	71	102	105	72	71	106	106	54	117	117	52	71	72	106	102	100	139	111	102	111	72	111
134	111	102	73	133	106	71	102	106	54	117	117	52	134	71	106	134	107	111	102	71	111	102	134
111	102	73	133	72	134	134	106	102	54	117	117	52	72	72	106	102	107	72	111	102	111	111	111
111	73	133	106	72	72	102	106	113	86	117	20	146	71	72	134	102	107	71	71	134	72	134	102
73	133	106	106	102	106	71	106	54	117	117	52	134	71	134	72	100	139	111	72	72	72	111	111
105	72	106	71	71	72	106	113	86	117	20	146	71	102	102	102	107	72	134	71	102	72	72	111
133	106	102	72	72	106	113	86	117	117	52	134	106	72	106	71	107	72	111	102	111	111	134	72
102	106	72	102	106	71	54	117	117	20	146	72	71	134	106	100	139	72	102	71	103	71	111	134
106	102	134	106	134	113	86	117	20	146	102	106	71	102	71	107	111	134	72	111	71	134	111	102
106	71	72	106	113	86	117	20	146	106	106	106	106	134	72	107	102	111	136	111	111	111	72	134

