50	44	44	11	41	50	12	50	64	65	65	4	12	44	33	11	12	44	33	33	43	12	12	11
50	43	12	50	43	50	44	44	50	50	50	64	65	65	4	11	43	44	43	43	43	33	11	43
43	50	50	50	43	44	43	11	43	44	50	12	44	12	64	65	65	65	4	33	11	44	43	44
257	44	11	12	12	11	12	12	43	44	50	12	44	50	44	44	43	50	64	65	65	65	65	65
224	225	225	225	257	50	44	12	44	43	12	12	50	12	11	43	11	44	50	44	50	50	12	11
268	268	268	268	224	225	225	225	257	50	12	43	43	50	12	50	44	43	50	12	44	44	43	50
268	268	268	268	268	268	268	268	224	225	225	257	12	43	44	50	12	44	50	12	50	50	50	50
268	268	268	268	268	268	268	268	268	268	268	224	225	225	257	12	43	50	12	12	43	43	50	44
268	268	268	268	268	268	268	268	268	268	268	268	268	268	224	225	225	225	257	44	384	385	386	43
268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	224	225	416	417	418	257
161	161	162	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	448	449	450	224
50	50	288	161	161	161	162	268	268	268	268	268	268	268	268	268	268	268	268	268	448	449	450	268
50	43	50	50	44	43	288	161	161	161	162	268	268	268	268	268	268	268	268	268	448	449	450	268
50	50	50	44	12	43	50	43	44	50	288	161	161	162	268	268	268	268	268	268	448	449	450	268
12	43	44	12	43	43	44	12	50	41	50	11	44	288	161	161	161	162	268	268	448	449	450	268

